LAR_LEMMA	EGOKITUA	FAILED_MATCH
Indic	indic	indic
Imperf	imperf	imperf
Imperat	imperat	imperat
Suoj	suoj	suoj
Eſta	esta	esta
Imperf	imperf	imperf
Eſtando	estando	estando
Eehados	eehados	eehados
Ecleſiatico	eclesiatico	eclesiatico
Los que ſon de vna edad	los que son de vna edad	los
Efectivamentente	efectivamentente	efectivamentente
Eſficaz	esficaz	esficaz
Efemerida	efemerida	efemerida
Efumdir	efumdir	efumdir
Egtegio	egtegio	egtegio
Egypciano	egypciano	egypciano
Ele ctor	ele ctor	ele
Elegible	elegible	elegible
Eloqencia	eloqencia	eloqencia
Emanciparme à mi	emanciparme a mi	emanciparme
Em alſar	em alsar	em
Embaramiento	embaramiento	embaramiento
Embararſe	embararse	embararse
Embarado	embarado	embarado
Embaraada mugeor	embaraada mugeor	embaraada
Embaraxo	embaraxo	embaraxo
Faar mucho	faar mucho	faar
Emoargar	emoargar	emoargar
Emibargo	emibargo	emibargo
Embariizar	embariizar	embariizar
Enmberrinchado	enmberrinchado	enmberrinchado
Embiar	embiar	embiar
Embidia	embidia	embidia
Embocarſe aſsi	embocarse asi	embocarse
Embozinado	embozinado	embozinado
Emboltorio	emboltorio	emboltorio
Embonado	embonado	embonado
Embozarſe	embozarse	embozarse
Embrazadera	embrazadera	embrazadera
Emelgar	emelgar	emelgar
Emina	emina	emina
Pars quarta medimni	pars quarta medimni	pars
Empacharſe avergonzarſe	empacharse avergonzarse	empacharse
Empandillarſe	empandillarse	empandillarse
Empantanarſe	empantanarse	empantanarse
Empavelar	empavelar	empavelar
Empelotar	empelotar	empelotar
Em peño	em peño	em
Empeños	empeños	empeños
Enulo	enulo	enulo
Enalbaldar	enalbaldar	enalbaldar
Amantèr	amanter	amanter
Enamorarſe	enamorarse	enamorarse
Encauarſe	encauarse	encauarse
Es vn encanto	es vn encanto	es
Encapirotarſe	encapirotarse	encapirotarse
Encarinarſe	encarinarse	encarinarse
Encarnizados ojos	encarnizados ojos	encarnizados
Enccbadado	enccbadado	enccbadado
Enceollado	enceollado	enceollado
Enclocada	enclocada	enclocada
Eneluſa	enelusa	enelusa
Encomiendas	encomiendas	encomiendas
Enconarſe	enconarse	enconarse
Encontron	encontron	encontron
Encornijamiento	encornijamiento	encornijamiento
Encoxar	encoxar	encoxar
Enereſpar	enerespar	enerespar
Encruelezer	encruelezer	encruelezer
Encluelecido	encluelecido	encluelecido
Encnentro en que ſe halla algo	encnentro en que se halla algo	encnentro
Encurtir	encurtir	encurtir
Endechas	endechas	endechas
Endevotarſe	endevotarse	endevotarse
Alenemigo	alenemigo	alenemigo
Enfardar	enfardar	enfardar
Enfear	enfear	enfear
Enſiſtolarſe	ensistolarse	ensistolarse
Enfiuciarſe	enfiuciarse	enfiuciarse
Engachado	engachado	engachado
Engañapaſtores	engañapastores	engañapastores
Innectere	innectere	innectere
Engoloſinarſe	engolosinarse	engolosinarse
Engran decido	engran decido	engran
Enerudo	enerudo	enerudo
Egualdrapar	egualdrapar	egualdrapar
FEnguizgar	fenguizgar	fenguizgar
Ennatiado	ennatiado	ennatiado
Enhomar	enhomar	enhomar
Enhiuerar	enhiuerar	enhiuerar
Euhuerado	euhuerado	euhuerado
Enjorguinarſe	enjorguinarse	enjorguinarse
Enjuagues	enjuagues	enjuagues
Enloſ ado	enlos ado	enlos
Irritare	irritare	irritare
Enoo	enoo	enoo
Lat	lat	lat
Enroſcr	enroscr	enroscr
Enroado fierro	enroado fierro	enroado
Enruedecer	enruedecer	enruedecer
Bnſbanado	bnsbanado	bnsbanado
Incantator	incantator	incantator
Enialzarſe	enialzarse	enialzarse
Eunſambladura	eunsambladura	eunsambladura
Enſaiar	ensaiar	ensaiar
Eſayado	esayado	esayado
Eniayador	eniayador	eniayador
Enſceña	ensceña	ensceña
Eiſiillar el caballo	eisiillar el caballo	eisiillar
Eifogado	eifogado	eifogado
Enſoñar	ensoñar	ensoñar
Enrablado	enrablado	enrablado
Hazer entender	hazer entender	hazer
Entonces	entonces	entonces
Entrambas	entrambas	entrambas
Entredezir	entredezir	entredezir
Entrefino	entrefino	entrefino
Entronizar	entronizar	entronizar
Entuertos	entuertos	entuertos
Entuſiaſmo	entusiasmo	entusiasmo
Enumeracion	enumeracion	enumeracion
Envararſe	envararse	envararse
Envalar	envalar	envalar
Enxebrar los paños	enxebrar los paños	enxebrar
Fnxerto	fnxerto	fnxerto
Fnxugador	fnxugador	fnxugador
Enxugado	enxugado	enxugado
Epanap hora	epanap hora	epanap
Epinome	epinome	epinome
Eras	eras	eras
Amatorius	amatorius	amatorius
Erradamcnte	erradamcnte	erradamcnte
Eructo	eructo	eructo
Eryſipelarſe	erysipelarse	erysipelarse
Eſcabèl	escabel	escabel
Eſcalfados huevos	escalfados huevos	escalfados
Eſcama	escama	escama
Eſcampada	escampada	escampada
Eſcandice	escandice	escandice
Eſcarbadero de jabalies	escarbadero de jabalies	escarbadero
Eſceleſto	escelesto	escelesto
Eſcenopegia	escenopegia	escenopegia
Eſcepticos	escepticos	escepticos
Eſcible	escible	escible
Eſciente	esciente	esciente
Eſcientiſico	escientisico	escientisico
Eſcinco	escinco	escinco
Eſciſmatico	escismatico	escismatico
Eſciſo	esciso	esciso
Eſcitale	escitale	escitale
Eſlavitud	eslavitud	eslavitud
Eſcondidamente	escondidamente	escondidamente
Eſcorchiado	escorchiado	escorchiado
Eſcorpiones	escorpiones	escorpiones
Eſcorro zo	escorro zo	escorro
Eſcorzuelo	escorzuelo	escorzuelo
Eſcotaduta en los tablados de comedias	escotaduta en los tablados de comedias	escotaduta
Eſcribaniìa	escribaniia	escribaniia
Eribir	eribir	eribir
Baſcuence	bascuence	bascuence
Eſcerito	escerito	escerito
Eſcrofula	escrofula	escrofula
Eſcrutiuio	escrutiuio	escrutiuio
Eſcuchadol	escuchadol	escuchadol
Eſcurrirſe gota à gota	escurrirse gota a gota	escurrirse
Eſcuſar	escusar	escusar
Eſcytale	escytale	escytale
Es forrocinos	es forrocinos	es
Eoforzadamente	eoforzadamente	eoforzadamente
Eforzamiento	eforzamiento	eforzamiento
Eforzar	eforzar	eforzar
E:fuerzo	e:fuerzo	e:fuerzo
Deſpectio	despectio	despectio
Eslabonado	eslabonado	eslabonado
Eipadada	eipadada	eipadada
Eipadaña	eipadaña	eipadaña
Elpadin	elpadin	elpadin
Eſpaldudamente	espaldudamente	espaldudamente
Eſpañiol	españiol	españiol
Eſpañoliar	españoliar	españoliar
Eſparayranes	esparayranes	esparayranes
Eſparganio	esparganio	esparganio
Eſparraguer	esparraguer	esparraguer
Eſparrancarſe	esparrancarse	esparrancarse
Eiparſion	eiparsion	eiparsion
Eſprteria	esprteria	esprteria
Eſpeeial	espeeial	espeeial
Eſpecificamente	especificamente	especificamente
Eſpectable	espectable	espectable
Eſperate	esperate	esperate
Eſperaos	esperaos	esperaos
Eſetado aſsi	esetado asi	esetado
Eiphera	eiphera	eiphera
Eſpigo de argolla	espigo de argolla	espigo
Eſpinpe	espinpe	espinpe
Eſinar	esinar	esinar
Prele	prele	prele
Eſp iritoſamente	esp iritosamente	esp
Eſiritualidad	esiritualidad	esiritualidad
Eſpleidido	espleidido	espleidido
Eſplenico	esplenico	esplenico
Eſpodio	espodio	espodio
Eſp olada	esp olada	esp
Efſpondeo	efspondeo	efspondeo
Eſpondilio	espondilio	espondilio
Eſpodyl	espodyl	espodyl
Eſpumajo	espumajo	espumajo
Eſpuoſo	espuoso	espuoso
Caboeſquadra	caboesquadra	caboesquadra
Eſuadria	esuadria	esuadria
Eſuadrear	esuadrear	esuadrear
Eſquela	esquela	esquela
Eſqilon	esqilon	esqilon
Angulus	angulus	angulus
Angulatus	angulatus	angulatus
Eſquinencia	esquinencia	esquinencia
Eſſento	esento	esento
Eſtablo	establo	establo
Eſacazo	esacazo	esacazo
Eſtachy	estachy	estachy
Eſtacte	estacte	estacte
Eſallido	esallido	esallido
Fſtaubor	fstaubor	fstaubor
Eſambre	esambre	esambre
Eſtamento	estamento	estamento
Etantes	etantes	etantes
Etantio	etantio	etantio
Etaño	etaño	etaño
Eſtaqui	estaqui	estaqui
Eſtoy	estoy	estoy
Eſfaba	esfaba	esfaba
Eſtate	estate	estate
Preſ	pres	pres
Imperf	imperf	imperf
Imperf	imperf	imperf
Eſtos dos tiempos ſirven en el preſente	estos dos tiempos sirven en el presente	estos
Preſ	pres	pres
Imperf	imperf	imperf
Optat	optat	optat
Imperf	imperf	imperf
Imperf	imperf	imperf
Optat	optat	optat
Imperf	imperf	imperf
Indic	indic	indic
Imperf	imperf	imperf
Optat	optat	optat
Imperft	imperft	imperft
Indic	indic	indic
Imperf	imperf	imperf
Optat	optat	optat
Imperf	imperf	imperf
Indic	indic	indic
Imperf	imperf	imperf
Optat	optat	optat
Imperf	imperf	imperf
Indic	indic	indic
Imperf	imperf	imperf
Optat	optat	optat
Imperf	imperf	imperf
Eſtareir	estareir	estareir
Eſtos	estos	estos
Eſteba	esteba	esteba
Eſtentorio	estentorio	estentorio
Eſtereograſia	estereograsia	estereograsia
Eſtereografico	estereografico	estereografico
Eſternon	esternon	esternon
Eſterquilinio	esterquilinio	esterquilinio
Eſtiontenado	estiontenado	estiontenado
Eſtipticidad	estipticidad	estipticidad
Eſtitico	estitico	estitico
Eſtà eſtornudando	esta estornudando	esta
Eſtrados; ſalas de los Conſejos	estrados; salas de los consejos	estrados;
Eſlrargero	eslrargero	eslrargero
Eſtrañar	estrañar	estrañar
Eſtreſla	estresla	estresla
Fortunatum eſſe	fortunatum ese	fortunatum
HFuevos eſtrellados	hfuevos estrellados	hfuevos
Eſtrema	estrema	estrema
Eſtribado	estribado	estribado
Eſtrigiles	estrigiles	estrigiles
Eſtudlo	estudlo	estudlo
Ethica	ethica	ethica
Etica	etica	etica
Euehariſtia	eueharistia	eueharistia
Evangeliſta	evangelista	evangelista
Eceptuar	eceptuar	eceptuar
Ecitado	ecitado	ecitado
Ecuſacion	ecusacion	ecusacion
Excuar	excuar	excuar
Eximiamente	eximiamente	eximiamente
Eiſtente	eistente	eistente
Exiſtentes	existentes	existentes
Expaveſeerſe	expaveseerse	expaveseerse
Evpendido	evpendido	evpendido
Erpenſas	erpensas	erpensas
Eperimentar	eperimentar	eperimentar
Eperimento	eperimento	eperimento
Eplanada	eplanada	eplanada
Eplicacion	eplicacion	eplicacion
Eplicaderas	eplicaderas	eplicaderas
Eplicitamente	eplicitamente	eplicitamente
Eplicito	eplicito	eplicito
Eplorador	eplorador	eplorador
Erplorar	erplorar	erplorar
Evpoliacion	evpoliacion	evpoliacion
Eponedor	eponedor	eponedor
Eponer	eponer	eponer
Epoſitos	epositos	epositos
Epoſitor	epositor	epositor
Epremijo	epremijo	epremijo
Epreſſar	epresar	epresar
Epreſſion	epresion	epresion
Epreſſivo	epresivo	epresivo
Epreſſo	epreso	epreso
Eprimido	eprimido	eprimido
Eprimir	eprimir	eprimir
Eprimido	eprimido	eprimido
Eprobracion	eprobracion	eprobracion
Epugnacion	epugnacion	epugnacion
Epugnador	epugnador	epugnador
Epugnado	epugnado	epugnado
Epulſo	epulso	epulso
Erpulſivo	erpulsivo	erpulsivo
Epurgar	epurgar	epurgar
Equiſito	equisito	equisito
Etaſis	etasis	etasis
Etemporaneamente	etemporaneamente	etemporaneamente
Etender	etender	etender
Etendido	etendido	etendido
Etendidamente	etendidamente	etendidamente
Etenſamente	etensamente	etensamente
Etenſion	etension	etension
Etenſivo	etensivo	etensivo
Etenſo	etenso	etenso
Etenuacion	etenuacion	etenuacion
Etenuar	etenuar	etenuar
Etenuado	etenuado	etenuado
Eterior	eterior	eterior
Eterioridad	eterioridad	eterioridad
Eterminar	eterminar	eterminar
Eterminado	eterminado	eterminado
Eterminio	eterminio	eterminio
Etinguir	etinguir	etinguir
Etirpacion	etirpacion	etirpacion
Etirpar	etirpar	etirpar
Etorſion	etorsion	etorsion
Etra de eſſo	etra de eso	etra
Ettacciton	ettacciton	ettacciton
Extrañiado aſsi	extrañiado asi	extrañiado
Eſtrañeza	estrañeza	estrañeza
Exſtraño	exstraño	exstraño
FExtravio	fextravio	fextravio
Exttemarſe	exttemarse	exttemarse
Extrema neceſsidad	extrema necesidad	extrema
Facciones de roſtro	facciones de rostro	facciones
Faccioiario	faccioiario	faccioiario
Paeia	paeia	paeia
Faehin	faehin	faehin
Facilimamente	facilimamente	facilimamente
Facinoroſo	facinoroso	facinoroso
Faeultad	faeultad	faeultad
Eacultativo	eacultativo	eacultativo
Falange	falange	falange
Falangio	falangio	falangio
Falaris	falaris	falaris
Falcas	falcas	falcas
Faldas	faldas	faldas
Eallido	eallido	eallido
Faltas	faltas	faltas
Falula	falula	falula
Etilo familiar	etilo familiar	etilo
Famulicio	famulicio	famulicio
Fandanuero	fandanuero	fandanuero
Fanftarron	fanftarron	fanftarron
Fanſarronamente	fansarronamente	fansarronamente
Fanforriña	fanforriña	fanforriña
Fantaſear	fantasear	fantasear
Fantasiìa	fantasiia	fantasiia
Fantaslas	fantaslas	fantaslas
Fantaſma	fantasma	fantasma
Fantaſtico	fantastico	fantastico
Farante	farante	farante
Fardago	fardago	fardago
Fardarſe	fardarse	fardarse
Farcellon	farcellon	farcellon
Farfra	farfra	farfra
Faringe	faringe	faringe
Farilaico	farilaico	farilaico
Fariſeiſimo	fariseisimo	fariseisimo
Fariſeo	fariseo	fariseo
Farmacentico	farmacentico	farmacentico
Farmacia	farmacia	farmacia
Farmaco	farmaco	farmaco
Farmacopea	farmacopea	farmacopea
Farmacopola	farmacopola	farmacopola
Rarpado	rarpado	rarpado
Faſcel	fascel	fascel
Faſe	fase	fase
Fſes	fses	fses
Fauces	fauces	fauces
Febo	febo	febo
Eſeribano	eseribano	eseribano
Fethoria	fethoria	fethoria
Felz	felz	felz
PFelizmente	pfelizmente	pfelizmente
Fenecimienta	fenecimienta	fenecimienta
Fenicoptero	fenicoptero	fenicoptero
Fenion	fenion	fenion
Fenix	fenix	fenix
Fenomeno	fenomeno	fenomeno
Feſtejada	festejada	festejada
Fetido	fetido	fetido
Enfiado	enfiado	enfiado
Fideicomiſſario	fideicomisario	fideicomisario
Tigura	tigura	tigura
Hazer figuras	hazer figuras	hazer
Figurarſele à vno	figurarsele a vno	figurarsele
Fijo	fijo	fijo
Fidandrias	fidandrias	fidandrias
Filantropos	filantropos	filantropos
Flelà	flela	flela
Filetetr	filetetr	filetetr
RFilipedula	rfilipedula	rfilipedula
Filologia	filologia	filologia
Filologico	filologico	filologico
Filologo	filologo	filologo
Filomena	filomena	filomena
Filonio	filonio	filonio
Filoſofar	filosofar	filosofar
Filoſofia	filosofia	filosofia
Filoſoficamente	filosoficamente	filosoficamente
Filoſophico	filosophico	filosophico
Filoſofo	filosofo	filosofo
Fiſtrar	fistrar	fistrar
PFimo	pfimo	pfimo
Fiſeter	fiseter	fiseter
Fiſica	fisica	fisica
Fiſicamente	fisicamente	fisicamente
Fiſico	fisico	fisico
Fiſonomìa	fisonomia	fisonomia
Fiſonomo	fisonomo	fisonomo
Fitoniſſa	fitonisa	fitonisa
Fixamepte	fixamepte	fixamepte
Fixar	fixar	fixar
Flebotomo	flebotomo	flebotomo
Foretada	foretada	foretada
Floear	floear	floear
Fluequecillo	fluequecillo	fluequecillo
Hazer flux de la hazienda	hazer flux de la hazienda	hazer
Foca	foca	foca
Fontaneriìa	fontaneriia	fontaneriia
Aquilex	aquilex	aquilex
Forfola	forfola	forfola
Arguye mas en forma que el otro	arguye mas en forma que el otro	arguye
Foermula	foermula	foermula
Fricador	fricador	fricador
Fornici	fornici	fornici
Teo	teo	teo
Fortaco	fortaco	fortaco
Forta ecær	forta ecaer	forta
Fortale	fortale	fortale
Fortiſicacioir	fortisicacioir	fortisicacioir
Militeris	militeris	militeris
Fortiir	fortiir	fortiir
Foertificado a si	foertificado a si	foertificado
Fortcar	fortcar	fortcar
Fortauna	fortauna	fortauna
Fosforo	fosforo	fosforo
Franciſceano	francisceano	francisceano
Franxqueza	franxqueza	franxqueza
Fraſe	frase	frase
Eraſquera	erasquera	erasquera
Frandulento	frandulento	frandulento
Freniente	freniente	freniente
Freſal	fresal	fresal
Freſcamete	frescamete	frescamete
Friegas	friegas	friegas
Haze frio	haze frio	haze
Frioiera	frioiera	frioiera
Frotado	frotado	frotado
Fruitivro	fruitivro	fruitivro
Fruſtaneo	frustaneo	frustaneo
Fcar	fcar	fcar
Fuercecilla	fuercecilla	fuercecilla
Hazerſe fuerte	hazerse fuerte	hazerse
Fugitrivro	fugitrivro	fugitrivro
Fnndicion	fnndicion	fnndicion
Funæral	funaeral	funaeral
Funetar	funetar	funetar
Funeſtalo	funestalo	funestalo
Fune to	fune to	fune
Fulco	fulco	fulco
Gabilla	gabilla	gabilla
Gabia	gabia	gabia
Gaica	gaica	gaica
Ramus diſſectus	ramus disectus	ramus
Hazer gala de el ſambenito	hazer gala de el sambenito	hazer
Galafate	galafate	galafate
Galapo	galapo	galapo
Calardon	calardon	calardon
Numeri ſubſequens duplicatio	numeri subsequens duplicatio	numeri
Galduda	galduda	galduda
Baſcuence	bascuence	bascuence
Elque nos vendio el galgo	elque nos vendio el galgo	elque
Gaſlardear	gaslardear	gaslardear
CGallareta	cgallareta	cgallareta
Es vn gallina	es vn gallina	es
Callinaza	callinaza	callinaza
Gallinera	gallinera	gallinera
Iràn los gueſpedes	iran los guespedes	iran
CGallon	cgallon	cgallon
Galonadura	galonadura	galonadura
Galonar	galonar	galonar
Gambetas de el caballo	gambetas de el caballo	gambetas
Hazerſele	hazersele	hazersele
ElLque guarda el ganado	ellque guarda el ganado	ellque
Ganarle à vno la voluntad	ganarle a vno la voluntad	ganarle
Gangrenarſe	gangrenarse	gangrenarse
Naribus vocem emittere	naribus vocem emittere	naribus
Canſo	canso	canso
Paſtores	pastores	pastores
Cañido	cañido	cañido
Garapullos de papel	garapullos de papel	garapullos
Garatuſas	garatusas	garatusas
Lat	lat	lat
Cargara	cargara	cargara
Grgol	grgol	grgol
Diòſe eſte nombre primero a las cana-	diose este nombre primero a las cana-	diose
Gargiuero	gargiuero	gargiuero
Longum lævigatorium	longum laevigatorium	longum
Garraſa	garrasa	garrasa
Garrocbear	garrocbear	garrocbear
Tuſte adſtricto ligatio	tuste adstricto ligatio	tuste
Gariophilea	gariophilea	gariophilea
Galſaja	galsaja	galsaja
Gatiilo	gatiilo	gatiilo
Accipiter	accipiter	accipiter
Baſcuence	bascuence	bascuence
Lat	lat	lat
Gazmiaz	gazmiaz	gazmiaz
Gaznatada	gaznatada	gaznatada
Gazophylocio	gazophylocio	gazophylocio
Celaſinos dientes	celasinos dientes	celasinos
Celatina	celatina	celatina
Cemir	cemir	cemir
Generalife	generalife	generalife
Genoſis	genosis	genosis
Lat	lat	lat
Tienelo de genio	tienelo de genio	tienelo
Cenital	cenital	cenital
Hazer gente	hazer gente	hazer
Centilhombre de manga	centilhombre de manga	centilhombre
Centileza	centileza	centileza
Gerarcha	gerarcha	gerarcha
Geringonza	geringonza	geringonza
Geringa	geringa	geringa
Germar	germar	germar
Geroglifico	geroglifico	geroglifico
Pali ſuffultorij	pali suffultorij	pali
Traer los caſcos à la gineta	traer los cascos a la gineta	traer
Hazer giras vna coſa	hazer giras vna cosa	hazer
Ciraſol	cirasol	cirasol
Ciſte	ciste	ciste
Es muy gitano	es muy gitano	es
Glorificarſe	glorificarse	glorificarse
Cobernar	cobernar	cobernar
Colondrina	colondrina	colondrina
Appetitus ſubitaneus	appetitus subitaneus	appetitus
Coſoſina	cososina	cososina
Goloio	goloio	goloio
Cormar	cormar	cormar
Corretada	corretada	corretada
Cotoſo	cotoso	cotoso
Gracejar	gracejar	gracejar
Pocas gracias	pocas gracias	pocas
Grandes Señores	grandes señores	grandes
Magnates	magnates	magnates
Crañion	crañion	crañion
Crifo	crifo	crifo
Crillete	crillete	crillete
Crillotalpa	crillotalpa	crillotalpa
Crima	crima	crima
Croſſeramente	croseramente	croseramente
Rotunda foramina	rotunda foramina	rotunda
Hazerſe grumos	hazerse grumos	hazerse
Gdualda	gdualda	gdualda
Gualdrap	gualdrap	gualdrap
Guardarmea	guardarmea	guardarmea
Guerras grandes	guerras grandes	guerras
Cuindalera	cuindalera	cuindalera
Cuindaleta	cuindaleta	cuindaleta
Guin daſtes	guin dastes	guin
Guirigai	guirigai	guirigai
Modus	modus	modus
Guiſantes	guisantes	guisantes
Lar Chelys	lar chelys	lar
Gullorias	gullorias	gullorias
Rudens	rudens	rudens
Gurrullada	gurrullada	gurrullada
Hazerſe guſaniento	hazerse gusaniento	hazerse
Guſarapa	gusarapa	gusarapa
Guſtarle à vno algo	gustarle a vno algo	gustarle
Es guſto	es gusto	es
Es vn coſtal de habas	es vn costal de habas	es
Hay	hay	hay
Habilitado	habilitado	habilitado
Indic	indic	indic
Imperf	imperf	imperf
Imper	imper	imper
Indic	indic	indic
Imperf	imperf	imperf
Hazer	hazer	hazer
Tiene eſte verbo ſus anomalos	tiene este verbo sus anomalos	tiene
Imperat	imperat	imperat
Preſ	pres	pres
Futur	futur	futur
Eſta miſma terminacion	esta misma terminacion	esta
Imperf	imperf	imperf
Imperat	imperat	imperat
Preſ	pres	pres
Fut	fut	fut
Pueden hazerſe	pueden hazerse	pueden
Imperf	imperf	imperf
Quñe los hizieſſe yo	quñe los hiziese yo	quñe
Hazmelo	hazmelo	hazmelo
Preſ	pres	pres
Imperf	imperf	imperf
Imper	imper	imper
Hazed elos voſotros	hazed elos vosotros	hazed
Preſ	pres	pres
Aquellos	aquellos	aquellos
Imperf	imperf	imperf
Situme los hizieras	situme los hizieras	situme
Preſ	pres	pres
Imperf	imperf	imperf
Preſ	pres	pres
Imperf	imperf	imperf
Rmper	rmper	rmper
Preſ	pres	pres
Imperf	imperf	imperf
Qu e yo ſe lo hizieſſe	qu e yo se lo hiziese	qu
Sivyo ſe lo pudiera hazer	sivyo se lo pudiera hazer	sivyo
Jmper	jmper	jmper
Imperf	imperf	imperf
Imperat	imperat	imperat
Preſ	pres	pres
Imperf	imperf	imperf
Imper	imper	imper
PFe	pfe	pfe
Imperf	imperf	imperf
Situ nos los hicieras	situ nos los hicieras	situ
Yaà nos los pudieras hazer	yaa nos los pudieras hazer	yaa
Imperf	imperf	imperf
Preſ	pres	pres
Imperf	imperf	imperf
Imperat	imperat	imperat
Preſ	pres	pres
Imperf	imperf	imperf
Aquellos	aquellos	aquellos
Imper	imper	imper
Preſ	pres	pres
Imperf	imperf	imperf
Imper	imper	imper
Hazedme vos	hazedme vos	hazedme
Haganme ellos	haganme ellos	haganme
Imperf	imperf	imperf
Imperf	imperf	imperf
Siyo te hiziera	siyo te hiziera	siyo
Imper	imper	imper
Preſ	pres	pres
Imperf	imperf	imperf
Aquellos	aquellos	aquellos
Eſtas ſon las prodigioſas	estas son las prodigiosas	estas
Hazer	hazer	hazer
Dàrlo por hecho	darlo por hecho	darlo
Paje de hacha	paje de hacha	paje
Halla	halla	halla
Hlaldada	hlaldada	hlaldada
Halecho	halecho	halecho
Halicto	halicto	halicto
Hamadryades	hamadryades	hamadryades
Haragancia	haragancia	haragancia
Haſtile	hastile	hastile
Hazana	hazana	hazana
Hazanñoſamente	hazanñosamente	hazanñosamente
Hechizeria	hechizeria	hechizeria
Hechizero	hechizero	hechizero
Honmbre bien hecho	honmbre bien hecho	honmbre
Hazerſe	hazerse	hazerse
Helgadura	helgadura	helgadura
Hemorrheo	hemorrheo	hemorrheo
Eſta voz Griega	esta voz griega	esta
Hermita	hermita	hermita
Eſla voz	esla voz	esla
Hlerrero	hlerrero	hlerrero
Herrcruelo	herrcruelo	herrcruelo
Herrete de agujeta	herrete de agujeta	herrete
Hcrrumbre	hcrrumbre	hcrrumbre
Preſ	pres	pres
Imperf	imperf	imperf
Opt	opt	opt
Imperf	imperf	imperf
Hervicnte	hervicnte	hervicnte
Heterogenco	heterogenco	heterogenco
Hazerſe	hazerse	hazerse
Hiedral	hiedral	hiedral
Hazerſe	hazerse	hazerse
Hazerſe	hazerse	hazerse
Diòole vna higa	dioole vna higa	dioole
Hija	hija	hija
Hijito	hijito	hijito
Es muy hijo de ſu padre	es muy hijo de su padre	es
Rilacha	rilacha	rilacha
Hilvanr	hilvanr	hilvanr
Hincehadamenre	hincehadamenre	hincehadamenre
Hiieſtra	hiiestra	hiiestra
Hpo	hpo	hpo
Hiſpao	hispao	hispao
Hſtorial	hstorial	hstorial
Hocicada	hocicada	hocicada
RParvum folium	rparvum folium	rparvum
Amplè	ample	ample
Homarrache	homarrache	homarrache
Hazerſe hombre	hazerse hombre	hazerse
Iombrillo de camila	iombrillo de camila	iombrillo
Homiliſtas	homilistas	homilistas
Homoſogo	homosogo	homosogo
Lo hondo de vn plato	lo hondo de vn plato	lo
Honoroficencia	honoroficencia	honoroficencia
Hque	hque	hque
Horcajarſe	horcajarse	horcajarse
Hormigor argamaſſa de piedra menuda	hormigor argamasa de piedra menuda	hormigor
Hoſpedarſe	hospedarse	hospedarse
Apud aliquem diverſari	apud aliquem diversari	apud
Hoſederìa	hosederia	hosederia
Hoipedero	hoipedero	hoipedero
Hiopital de pobres	hiopital de pobres	hiopital
Hſtia de el Altar	hstia de el altar	hstia
Hueſpeda	huespeda	huespeda
Hueſla	huesla	huesla
Huevas de peſcado	huevas de pescado	huevas
HIumilladero	hiumilladero	hiumilladero
Hydropesìa	hydropesia	hydropesia
Hidrophilacio	hidrophilacio	hidrophilacio
Hyeion	hyeion	hyeion
Hvymeneo	hvymeneo	hvymeneo
Hmno	hmno	hmno
Hpermetria	hpermetria	hpermetria
Icterieia	icterieia	icterieia
Ilegitimamente	ilegitimamente	ilegitimamente
Imagnar	imagnar	imagnar
Immarceisible	immarceisible	immarceisible
Im mediatamente	im mediatamente	im
Immemorialmente	immemorialmente	immemorialmente
Immodcracion	immodcracion	immodcracion
Rmmortal	rmmortal	rmmortal
Immunjidad	immunjidad	immunjidad
Immutarſe	immutarse	immutarse
Impedmento	impedmento	impedmento
Impedimiento impediente	impedimiento impediente	impedimiento
Impedirſe	impedirse	impedirse
Imperceptiblemcnte	imperceptiblemcnte	imperceptiblemcnte
Imperdonable	imperdonable	imperdonable
Imperfectamente	imperfectamente	imperfectamente
Impetu	impetu	impetu
Impetuoſamente	impetuosamente	impetuosamente
Impetuofidad	impetuofidad	impetuofidad
Impetuoſo	impetuoso	impetuoso
Importame à m	importame a m	importame
Importa mucho	importa mucho	importa
Importaba mucho	importaba mucho	importaba
Importò	importo	importo
Importarà mucho	importara mucho	importara
Importarìa	importaria	importaria
Importaria	importaria	importaria
Importuacion	importuacion	importuacion
Impreſciidible	impresciidible	impresciidible
Imprimador	imprimador	imprimador
Iialterable	iialterable	iialterable
Ianimado	ianimado	ianimado
Incindente	incindente	incindente
Incluſivo	inclusivo	inclusivo
Inconſidera damente	inconsidera damente	inconsidera
Incnſiderancia	incnsiderancia	incnsiderancia
Imcontinenti	imcontinenti	imcontinenti
Icreado	icreado	icreado
Indeſpenſablemente	indespensablemente	indespensablemente
Indiputable	indiputable	indiputable
Indiſſelublemente	indiselublemente	indiselublemente
Indiſtincion	indistincion	indistincion
Indiſtincto	indistincto	indistincto
Indoctamente	indoctamente	indoctamente
Rnenarrable	rnenarrable	rnenarrable
Infabilidad	infabilidad	infabilidad
Infmador	infmador	infmador
Infanticidia	infanticidia	infanticidia
Inſerencia	inserencia	inserencia
Inſerido	inserido	inserido
Infinta	infinta	infinta
Inſintoſo	insintoso	insintoso
Inſlacion	inslacion	inslacion
InfBamacion	infbamacion	infbamacion
Inftuido	inftuido	inftuido
Infſormacion de la materia por la forma	infsormacion de la materia por la forma	infsormacion
Infſraſcripto	infsrascripto	infsrascripto
Ilngenerable	ilngenerable	ilngenerable
Ingeniado	ingeniado	ingeniado
Inhabididad	inhabididad	inhabididad
